subject,block,item,list,subexpt,integ,related,n2num,preamble,maincode,dysfluency,,err,errd,unin,unind,misc,corr,corrd
1001,11,12,1,Cat,unint,unrel,sing,The horse beyond the young raven,U,D,,0,0,0,1,0,0,0
1005,152,21,1,Cat,unint,rel,sing,The futon near the dirty recliner,U,D,,0,0,0,1,0,0,0
1014,62,5,2,Cat,unint,rel,sing,The elephant beside the lazy tiger,U,D,,0,0,0,1,0,0,0
1020,137,1,4,Cat,unint,unrel,sing,The fork near the plastic lemon,U,D,,0,0,0,1,0,0,0
1023,18,21,3,Cat,unint,unrel,sing,The futon near the dirty radiator,U,D,,0,0,0,1,0,0,0
1023,88,9,3,Cat,unint,rel,sing,The spider by the aggressive bee,U,D,,0,0,0,1,0,0,0
1023,1,5,3,Cat,unint,unrel,plur,The elephant beside the lazy turtles,U,D,,0,0,0,1,0,0,0
1024,5,12,4,Cat,unint,unrel,plur,The horse beyond the young ravens,U,D,,0,0,0,1,0,0,0
1026,111,13,2,Cat,unint,unrel,sing,The butterfly by the lively hamster,U,D,,0,0,0,1,0,0,0
1026,156,12,2,Cat,unint,rel,plur,The horse beyond the young rabbits,U,D,,0,0,0,1,0,0,0
1026,163,6,2,Cat,unint,rel,sing,The monastery near the ancient chapel,U,D,,0,0,0,1,0,0,0
1026,68,8,2,Cat,unint,rel,plur,The shovel near the cracked buckets,U,D,,0,0,0,1,0,0,0
1026,144,24,2,Cat,unint,unrel,plur,The van near the dented trailers,U,D,,0,0,0,1,0,0,0
1026,112,20,2,Cat,unint,unrel,plur,The saxophone beside the ornate pillars,U,D,,0,0,0,1,0,0,0
1027,146,5,3,Cat,unint,unrel,plur,The elephant beside the lazy turtles,U,D,,0,0,0,1,0,0,0
1027,135,20,3,Cat,unint,unrel,sing,The saxophone beside the ornate pillar,U,D,,0,0,0,1,0,0,0
1030,26,21,2,Cat,unint,unrel,plur,The futon near the dirty radiators,U,D,,0,0,0,1,0,0,0
1037,92,9,1,Cat,unint,unrel,sing,The spider by the aggressive bear,U,D,,0,0,0,1,0,0,0
1038,80,13,2,Cat,unint,unrel,sing,The butterfly by the lively hamster,U,D,,0,0,0,1,0,0,0
1038,147,9,2,Cat,unint,rel,plur,The spider by the aggressive bees,U,D,,0,0,0,1,0,0,0
1038,129,10,2,Cat,unint,rel,plur,The kayak beside the large ferries,U,D,,0,0,0,1,0,0,0
1040,139,5,4,Cat,unint,unrel,sing,The elephant beside the lazy turtle,U,D,,0,0,0,1,0,0,0
1043,135,1,3,Cat,unint,unrel,plur,The fork near the plastic lemons,U,D,,0,0,0,1,0,0,0
1044,105,18,4,Cat,unint,rel,sing,The dorm near the new condo,U,D,,0,0,0,1,0,0,0
1044,157,3,4,Cat,unint,unrel,sing,The robin by the frightened chipmunk,U,D,,0,0,0,1,0,0,0
1050,45,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,U,D,,0,0,0,1,0,0,0
1050,159,5,2,Cat,unint,rel,sing,The elephant beside the lazy tiger,U,D,,0,0,0,1,0,0,0
1051,78,16,3,Cat,unint,rel,plur,The kiwi beside the fake peaches,U,D,,0,0,0,1,0,0,0
1060,117,12,4,Cat,unint,unrel,plur,The horse beyond the young ravens,U,D,,0,0,0,1,0,0,0
1060,21,5,4,Cat,unint,unrel,sing,The elephant beside the lazy turtle,U,D,,0,0,0,1,0,0,0
1061,147,12,1,Cat,unint,unrel,sing,The horse beyond the young raven,U,D,,0,0,0,1,0,0,0
1061,63,9,1,Cat,unint,unrel,sing,The spider by the aggressive bear,U,D,,0,0,0,1,0,0,0
1065,145,12,1,Cat,unint,unrel,sing,The horse beyond the young raven,U,D,,0,0,0,1,0,0,0
1071,91,3,3,Cat,unint,unrel,plur,The robin by the frightened chipmunks,U,D,,0,0,0,1,0,0,0
1072,82,8,4,Cat,unint,unrel,plur,The shovel near the cracked boulders,U,D,,0,0,0,1,0,0,0
1072,84,14,4,Cat,unint,rel,sing,The tent near the spooky cabin,U,D,,0,0,0,1,0,0,0
1072,64,5,4,Cat,unint,unrel,sing,The elephant beside the lazy turtle,U,D,,0,0,0,1,0,0,0
1074,143,9,2,Cat,unint,rel,plur,The spider by the aggressive bees,U,D,,0,0,0,1,0,0,0
1084,142,1,4,Cat,unint,unrel,sing,The fork near the plastic lemon,U,D,,0,0,0,1,0,0,0
1084,117,3,4,Cat,unint,unrel,sing,The robin by the frightened chipmunk,U,D,,0,0,0,1,0,0,0
1085,98,11,1,Cat,unint,unrel,sing,The treasurer beside the eager supporter,U,D,,0,0,0,1,0,0,0
1089,29,1,1,Cat,unint,rel,plur,The fork near the plastic ladles,U,D,,0,0,0,1,0,0,0
1089,110,8,1,Cat,unint,unrel,sing,The shovel near the cracked boulder,U,D,,0,0,0,1,0,0,0
1092,95,5,4,Cat,unint,unrel,sing,The elephant beside the lazy turtle,U,D,,0,0,0,1,0,0,0
1116,126,9,4,Cat,unint,unrel,plur,The spider by the aggressive bears,U,D,,0,0,0,1,0,0,0
1116,51,5,4,Cat,unint,unrel,sing,The elephant beside the lazy turtle,U,D,,0,0,0,1,0,0,0
1116,125,11,4,Cat,unint,unrel,plur,The treasurer beside the eager supporters,U,D,,0,0,0,1,0,0,0
1117,148,20,1,Cat,unint,rel,sing,The saxophone beside the ornate piano,U,D,,0,0,0,1,0,0,0
1118,4,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,U,D,,0,0,0,1,0,0,0
1119,131,12,3,Cat,unint,rel,sing,The horse beyond the young rabbit,U,D,,0,0,0,1,0,0,0
1121,43,11,1,Cat,unint,unrel,sing,The treasurer beside the eager supporter,U,D,,0,0,0,1,0,0,0
1122,26,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,U,D,,0,0,0,1,0,0,0
1126,60,7,2,Cat,unint,rel,plur,The rake beside the muddy gloves,U,D,,0,0,0,1,0,0,0
1127,11,22,3,Cat,unint,unrel,sing,The monk near the talkative carpenter,U,D,,0,0,0,1,0,0,0
1127,161,3,3,Cat,unint,unrel,plur,The robin by the frightened chipmunks,U,D,,0,0,0,1,0,0,0
1099,161,7,3,Cat,unint,rel,sing,The rake beside the muddy glove,P,D,,0,0,0,0,1,0,0
1007,164,21,3,Cat,unint,unrel,sing,The futon near the dirty radiator,E,D,,0,1,0,0,0,0,0
