subject,block,item,list,subexpt,integ,related,n2num,preamble,maincode,dysfluency,,err,errd,unin,unind,misc,corr,corrd
1020,21,40,2,Prop,unint,rel,plur,The book beside the torn pages,U,D,,0,0,0,1,0,0,0
1020,59,26,2,Prop,unint,assoc,sing,The bike beside the greasy rack,U,D,,0,0,0,1,0,0,0
1022,49,28,4,Prop,unint,unrel,sing,The jar near the stale bagel,U,D,,0,0,0,1,0,0,0
1023,48,25,5,Prop,unint,rel,plur,The blueprint near the modern drawings,U,D,,0,0,0,1,0,0,0
1023,90,36,5,Prop,unint,unrel,plur,The chain by the flimsy signs,U,D,,0,0,0,1,0,0,0
1026,133,35,2,Prop,unint,rel,sing,The atlas by the detailed map,U,D,,0,0,0,1,0,0,0
1026,147,47,2,Prop,unint,unrel,plur,The canoe by the well-worn trails,U,D,,0,0,0,1,0,0,0
1026,150,29,2,Prop,unint,assoc,plur,The sink near the broken dishes,U,D,,0,0,0,1,0,0,0
1026,161,42,2,Prop,unint,unrel,sing,The sneaker beside the pink ski,U,D,,0,0,0,1,0,0,0
1030,96,36,6,Prop,unint,unrel,sing,The chain by the flimsy sign,U,D,,0,0,0,1,0,0,0
1032,164,44,2,Prop,unint,unrel,sing,The backpack on the folded quilt,U,D,,0,0,0,1,0,0,0
1038,133,42,2,Prop,unint,unrel,sing,The sneaker beside the pink ski,U,D,,0,0,0,1,0,0,0
1050,118,44,2,Prop,unint,unrel,sing,The backpack on the folded quilt,U,D,,0,0,0,1,0,0,0
1060,168,44,6,Prop,unint,assoc,sing,The backpack on the frayed book,U,D,,0,0,0,1,0,0,0
1060,5,43,6,Prop,unint,assoc,sing,The pencil by the colorful sharpener,U,D,,0,0,0,1,0,0,0
1064,88,25,4,Prop,unint,unrel,sing,The blueprint near the metal ruler,U,D,,0,0,0,1,0,0,0
1072,85,47,6,Prop,unint,assoc,plur,The canoe by the weathered camps,U,D,,0,0,0,1,0,0,0
1072,11,26,6,Prop,unint,rel,sing,The bike beside the greasy tire,U,D,,0,0,0,1,0,0,0
1072,71,31,6,Prop,unint,rel,plur,The rifle beside the expensive triggers,U,D,,0,0,0,1,0,0,0
1084,73,33,6,Prop,unint,unrel,sing,The car by the wide ramp,U,D,,0,0,0,1,0,0,0
1085,102,44,1,Prop,unint,unrel,plur,The backpack on the folded quilts,U,D,,0,0,0,1,0,0,0
1089,57,36,5,Prop,unint,unrel,plur,The chain by the flimsy signs,U,D,,0,0,0,1,0,0,0
1089,161,37,5,Prop,unint,assoc,sing,The hose near the yellow hydrant,U,D,,0,0,0,1,0,0,0
1106,56,44,4,Prop,unint,rel,sing,The backpack on the frayed strap,U,D,,0,0,0,1,0,0,0
1115,26,35,1,Prop,unint,rel,plur,The atlas by the detailed maps,U,D,,0,0,0,1,0,0,0
1115,165,40,1,Prop,unint,unrel,sing,The book beside the tall stack,U,D,,0,0,0,1,0,0,0
1115,21,31,1,Prop,unint,rel,sing,The rifle beside the expensive trigger,U,D,,0,0,0,1,0,0,0
1116,164,30,2,Prop,unint,assoc,plur,The window near the shaggy curtains,U,D,,0,0,0,1,0,0,0
