"","X.1","subject","item","list","subexpt","integrated","related","n2num","text","animacy","maincode","dysfluency","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","errcord","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","errnd","errd","errcornd","res.int","res.rel","res.asshl","res.rel2","assHL","assHL.asin.ns","assHL.asin","assHL.log.ns","assHL.log","assLS","assLS.asin.ns","assLS.asin","assLS.log.ns","assLS.log","assLP","assLP.asin.ns","assLP.asin","assLP.log.ns","assLP.log","all.asso.asin.ns","all.asso.asin","all.asso.log.ns","all.asso.log","local.asso.asin.ns","local.asso.asin","local.asso.log.ns","local.asso.log","lf.head","lf.prep","lf.adj","lf.noun","rel","int","plaus","lf.head.ns","lf.prep.ns","lf.adj.ns","lf.noun.ns","rel.ns","int.ns","plaus.ns","corr","tot","elog","rates","v","asin"
"1",1,"1111",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
"2",2,"1063",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
"3",3,"1003",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"D",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
"4",4,"1033",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"D",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
"5",5,"1057",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
"6",6,"1039",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",1,"",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
"7",7,"1051",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",1,"",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
"8",8,"1069",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
"9",9,"1009",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
"10",10,"1021",135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",0.96,1212.84,3.27,0.35,10,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,2,2,8,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566,21.25,0.958192178746274,0.301933500677014,1.32837960343874,0.433576265853879,10,0.643501108793284,-1.3192472426695,1.00216606175651,-1.51876104656344,10,0.643501108793284,-1.3498603043264,1.00216606175651,-1.53471360182288,0.47890508487481,0.955890906429938,0.75396586586516,1.26052809185595,0.389760732797475,0.524324896592877,0.57978359661681,1.02637562714961,-1.44310174632971,0.654283396023601,-0.438821138858469,-1.02998951551211,0.855486074905607,1.0838130868896,0.510429961612697,0.29,3.08,0.63,0.13,5.67,5.08,5.56,8,10,-1.22377543162212,20,0.517647058823529,0.463647609000806
