subject,block,item,list,subexpt,integ,related,n2num,preamble,maincode,dysfluency,err,errd,unin,unind,misc,corr,corrd,noresp
1004,133,11,4,Cat,unint,unrel,plur,The treasurer beside the eager supporters,X,,0,0,0,0,1,0,0,0
1007,32,12,3,Cat,unint,rel,sing,The horse beyond the young rabbit,X,,0,0,0,0,1,0,0,0
1009,14,48,3,Prop,unint,unrel,sing,The violin beside the pricey bowl,X,,0,0,0,0,1,0,0,0
1010,42,33,4,Prop,unint,assoc,sing,The car by the wide road,X,,0,0,0,0,1,0,0,0
1015,50,19,3,Cat,unint,unrel,sing,The drill by the durable handbag,X,,0,0,0,0,1,0,0,0
1020,51,31,2,Prop,unint,assoc,plur,The rifle beside the expensive targets,X,,0,0,0,0,1,0,0,0
1023,59,13,3,Cat,unint,rel,plur,The butterfly by the lively hornets,X,,0,0,0,0,1,0,0,0
1023,22,45,5,Prop,unint,rel,sing,The skeleton near the large bone,X,,0,0,0,0,1,0,0,0
1023,148,4,3,Cat,unint,unrel,plur,The knife beside the heavy cans,X,,0,0,0,0,1,0,0,0
1023,10,26,5,Prop,unint,rel,plur,The bike beside the greasy tires,X,,0,0,0,0,1,0,0,0
1025,9,3,1,Cat,unint,rel,plur,The robin by the frightened chickens,X,,0,0,0,0,1,0,0,0
1025,156,47,1,Prop,unint,assoc,sing,The canoe by the weathered camp,X,,0,0,0,0,1,0,0,0
1025,69,11,1,Cat,unint,unrel,sing,The treasurer beside the eager supporter,X,,0,0,0,0,1,0,0,0
1031,65,34,1,Prop,unint,rel,plur,The dresser by the heavy drawers,X,,0,0,0,0,1,0,0,0
1033,83,23,1,Cat,unint,rel,sing,The saw by the oily wrench,X,,0,0,0,0,1,0,0,0
1033,129,8,1,Cat,unint,unrel,sing,The shovel near the cracked boulder,X,,0,0,0,0,1,0,0,0
1033,165,34,3,Prop,unint,assoc,plur,The dresser by the heavy mirrors,X,,0,0,0,0,1,0,0,0
1033,131,38,3,Prop,unint,rel,sing,The table by the rebuilt leg,X,,0,0,0,0,1,0,0,0
1035,1,45,5,Prop,unint,rel,sing,The skeleton near the large bone,X,,0,0,0,0,1,0,0,0
1036,66,14,4,Cat,unint,rel,sing,The tent near the spooky cabin,X,,0,0,0,0,1,0,0,0
1038,118,21,2,Cat,unint,unrel,plur,The futon near the dirty radiators,X,,0,0,0,0,1,0,0,0
1038,72,27,2,Prop,unint,assoc,sing,The fort near the ancient cave,X,,0,0,0,0,1,0,0,0
1038,137,20,2,Cat,unint,unrel,plur,The saxophone beside the ornate pillars,X,,0,0,0,0,1,0,0,0
1043,84,2,3,Cat,unint,unrel,plur,The magazine under the tattered necklaces,X,,0,0,0,0,1,0,0,0
1047,27,1,3,Cat,unint,unrel,plur,The fork near the plastic lemons,X,,0,0,0,0,1,0,0,0
1047,5,44,5,Prop,unint,assoc,plur,The backpack on the frayed books,X,,0,0,0,0,1,0,0,0
1048,20,2,4,Cat,unint,unrel,sing,The magazine under the tattered necklace,X,,0,0,0,0,1,0,0,0
1048,32,44,6,Prop,unint,assoc,sing,The backpack on the frayed book,X,,0,0,0,0,1,0,0,0
1061,102,40,1,Prop,unint,unrel,sing,The book beside the tall stack,X,,0,0,0,0,1,0,0,0
1062,121,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,X,,0,0,0,0,1,0,0,0
1062,43,8,2,Cat,unint,rel,plur,The shovel near the cracked buckets,X,,0,0,0,0,1,0,0,0
1064,46,2,4,Cat,unint,unrel,sing,The magazine under the tattered necklace,X,,0,0,0,0,1,0,0,0
1065,45,35,5,Prop,unint,unrel,plur,The atlas by the detailed journals,X,,0,0,0,0,1,0,0,0
1067,48,22,3,Cat,unint,unrel,sing,The monk near the talkative carpenter,X,,0,0,0,0,1,0,0,0
1067,5,17,3,Cat,unint,rel,plur,The motorcycle near the painted buses,X,,0,0,0,0,1,0,0,0
1067,72,9,3,Cat,unint,rel,sing,The spider by the aggressive bee,X,,0,0,0,0,1,0,0,0
1067,54,25,1,Prop,unint,assoc,plur,The blueprint near the model buildings,X,,0,0,0,0,1,0,0,0
1067,104,4,3,Cat,unint,unrel,plur,The knife beside the heavy cans,X,,0,0,0,0,1,0,0,0
1068,26,7,4,Cat,unint,unrel,plur,The rake beside the muddy graves,X,,0,0,0,0,1,0,0,0
1070,61,2,2,Cat,unint,rel,sing,The magazine under the tattered novel,X,,0,0,0,0,1,0,0,0
1070,105,24,2,Cat,unint,unrel,plur,The van near the dented trailers,X,,0,0,0,0,1,0,0,0
1070,108,16,2,Cat,unint,unrel,sing,The kiwi beside the fake plant,X,,0,0,0,0,1,0,0,0
1070,63,4,2,Cat,unint,rel,sing,The knife beside the heavy club,X,,0,0,0,0,1,0,0,0
1070,85,48,4,Prop,unint,rel,plur,The violin beside the pricey strings,X,,0,0,0,0,1,0,0,0
1070,75,10,2,Cat,unint,rel,plur,The kayak beside the large ferries,X,,0,0,0,0,1,0,0,0
1078,56,35,6,Prop,unint,unrel,sing,The atlas by the detailed journal,X,,0,0,0,0,1,0,0,0
1081,140,43,3,Prop,unint,rel,plur,The pencil by the colorful erasers,X,,0,0,0,0,1,0,0,0
1086,53,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,X,,0,0,0,0,1,0,0,0
1086,25,36,2,Prop,unint,rel,sing,The chain by the flimsy link,X,,0,0,0,0,1,0,0,0
1089,38,46,5,Prop,unint,rel,sing,The lamp beside the cheap bulb,X,,0,0,0,0,1,0,0,0
1091,25,42,1,Prop,unint,unrel,plur,The sneaker beside the pink skis,X,,0,0,0,0,1,0,0,0
1092,161,7,4,Cat,unint,unrel,plur,The rake beside the muddy graves,X,,0,0,0,0,1,0,0,0
1094,39,3,2,Cat,unint,rel,sing,The robin by the frightened chicken,X,,0,0,0,0,1,0,0,0
1094,108,44,4,Prop,unint,rel,sing,The backpack on the frayed strap,X,,0,0,0,0,1,0,0,0
1094,150,36,4,Prop,unint,assoc,sing,The chain by the flimsy saw,X,,0,0,0,0,1,0,0,0
1097,18,11,1,Cat,unint,unrel,sing,The treasurer beside the eager supporter,X,,0,0,0,0,1,0,0,0
1097,6,31,1,Prop,unint,rel,sing,The rifle beside the expensive trigger,X,,0,0,0,0,1,0,0,0
1098,1,16,2,Cat,unint,unrel,sing,The kiwi beside the fake plant,X,,0,0,0,0,1,0,0,0
1100,53,13,4,Cat,unint,rel,sing,The butterfly by the lively hornet,X,,0,0,0,0,1,0,0,0
1109,66,22,1,Cat,unint,rel,sing,The monk near the talkative cardinal,X,,0,0,0,0,1,0,0,0
1109,31,32,1,Prop,unint,rel,sing,The banana near the messy peel,X,,0,0,0,0,1,0,0,0
1109,120,7,1,Cat,unint,unrel,sing,The rake beside the muddy grave,X,,0,0,0,0,1,0,0,0
1113,9,44,5,Prop,unint,assoc,plur,The backpack on the frayed books,X,,0,0,0,0,1,0,0,0
1119,139,23,3,Cat,unint,unrel,sing,The saw by the oily rag,X,,0,0,0,0,1,0,0,0
1122,66,5,2,Cat,unint,rel,sing,The elephant beside the lazy tiger,X,,0,0,0,0,1,0,0,0
1125,3,19,1,Cat,unint,rel,sing,The drill by the durable hammer,X,,0,0,0,0,1,0,0,0
1126,38,44,6,Prop,unint,assoc,sing,The backpack on the frayed book,X,,0,0,0,0,1,0,0,0
1127,153,31,1,Prop,unint,rel,sing,The rifle beside the expensive trigger,X,,0,0,0,0,1,0,0,0
1128,118,40,2,Prop,unint,rel,plur,The book beside the torn pages,X,,0,0,0,0,1,0,0,0
1129,61,22,1,Cat,unint,rel,sing,The monk near the talkative cardinal,X,,0,0,0,0,1,0,0,0
1129,141,23,1,Cat,unint,rel,sing,The saw by the oily wrench,X,,0,0,0,0,1,0,0,0
1129,140,34,3,Prop,unint,assoc,plur,The dresser by the heavy mirrors,X,,0,0,0,0,1,0,0,0
1129,160,37,3,Prop,unint,rel,sing,The hose near the yellow nozzle,X,,0,0,0,0,1,0,0,0
1129,150,38,3,Prop,unint,rel,sing,The table by the rebuilt leg,X,,0,0,0,0,1,0,0,0
1129,118,39,3,Prop,unint,rel,sing,The tree near the cut limb,X,,0,0,0,0,1,0,0,0
1129,167,48,3,Prop,unint,unrel,sing,The violin beside the pricey bowl,X,,0,0,0,0,1,0,0,0
1129,154,7,1,Cat,unint,unrel,sing,The rake beside the muddy grave,X,,0,0,0,0,1,0,0,0
1131,159,45,5,Prop,unint,rel,sing,The skeleton near the large bone,X,,0,0,0,0,1,0,0,0
6,48,1,6,SemRel,unint,rel,plur,The envelope by the formal letters,X,,0,0,0,0,1,0,0,0
6,68,22,6,SemRel,unint,unrel,sing,The trainer near the confident actor,X,,0,0,0,0,1,0,0,0
10,4,13,2,SemRel,unint,rel,plur,The bicycle by the warped tires,X,,0,0,0,0,1,0,0,0
10,20,11,2,SemRel,unint,unrel,sing,The banana near the popular sandwich,X,,0,0,0,0,1,0,0,0
14,64,21,6,SemRel,unint,unrel,plur,The guitar near the faulty pedals,X,,0,0,0,0,1,0,0,0
16,56,5,8,SemRel,unint,unrel,sing,The tent near the sturdy cushion,X,,0,0,0,0,1,0,0,0
16,80,16,8,SemRel,integ,unrel,sing,The eraser for the novelty pen,X,,0,0,0,0,1,0,0,0
17,11,12,1,SemRel,unint,rel,plur,The bodyguard near the nervous actresses,X,,0,0,0,0,1,0,0,0
17,15,7,1,SemRel,unint,unrel,sing,The necklace near the colorful feather,X,,0,0,0,0,1,0,0,0
17,88,5,1,SemRel,unint,unrel,plur,The tent near the sturdy cushions,X,,0,0,0,0,1,0,0,0
18,2,15,2,SemRel,unint,rel,plur,The church near the giant crosses,X,,0,0,0,0,1,0,0,0
