"","X","subject","item","list","subexpt","integrated","related","n2num","text","animacy","maincode","dysfluency","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","errcord","AssPercent.HL.S","AssPercent.HL.P","LNSing.HS","LNSing.HP","LNPlur.HS","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","Plausibility","errnd","errd","errcornd","all.asso","local.asso","res.int","res.rel","res.asshl","res.rel2"
"1",1,1111,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"2",2,1063,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"3",3,1003,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"D",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"4",4,1033,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"D",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"5",5,1057,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"6",6,1039,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",1,"",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"7",7,1051,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",1,"",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"8",8,1069,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"9",9,1009,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"10",10,1021,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",0,"",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.56,2,2,8,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"11",11,1125,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"12",12,1107,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"13",13,1095,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"14",14,1047,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"15",15,1113,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"16",16,1023,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"17",17,1053,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",1,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"18",18,1041,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"19",19,1011,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"20",20,1131,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"21",21,1059,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"22",22,1077,135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,12,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,5.75,1,1,12,0,0,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336
"23",23,1001,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",0,"",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,5.88,0,1,8,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
"24",24,1097,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",0,"",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,5.88,0,1,8,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
"25",25,1127,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",1,"D",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,5.88,0,1,8,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
"26",26,1103,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",0,"",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,5.88,0,1,8,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
"27",27,1019,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",0,"",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,5.88,0,1,8,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
"28",28,1067,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",0,"",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,5.88,0,1,8,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
"29",29,1043,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",0,"",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,5.88,0,1,8,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
"30",30,1121,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",0,"",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,5.88,0,1,8,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
"31",31,1055,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",0,"",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,5.88,0,1,8,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
"32",32,1097,144,1,"Prop","unint","unrel","plur","The backpack on the folded quilts","I",0,"",8,2,6,6,6,2,6,6,2,1,2,1,3.63,4424.29,0.51,0.31,0.67,3.65,0.18,0.12,1.83,2.25,2.17,15,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,4.19,0,0,15,0,0,-0.264662549439745,-0.534702567216734,0.0887078107419713,-1.9639112008231
"33",33,1001,144,1,"Prop","unint","unrel","plur","The backpack on the folded quilts","I",0,"",8,2,6,6,6,2,6,6,2,1,2,1,3.63,4424.29,0.51,0.31,0.67,3.65,0.18,0.12,1.83,2.25,2.17,15,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,4.19,0,0,15,0,0,-0.264662549439745,-0.534702567216734,0.0887078107419713,-1.9639112008231
"34",34,1019,144,1,"Prop","unint","unrel","plur","The backpack on the folded quilts","I",0,"",8,2,6,6,6,2,6,6,2,1,2,1,3.63,4424.29,0.51,0.31,0.67,3.65,0.18,0.12,1.83,2.25,2.17,15,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,4.19,0,0,15,0,0,-0.264662549439745,-0.534702567216734,0.0887078107419713,-1.9639112008231
"35",35,1013,144,1,"Prop","unint","unrel","plur","The backpack on the folded quilts","I",0,"",8,2,6,6,6,2,6,6,2,1,2,1,3.63,4424.29,0.51,0.31,0.67,3.65,0.18,0.12,1.83,2.25,2.17,15,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,4.19,0,0,15,0,0,-0.264662549439745,-0.534702567216734,0.0887078107419713,-1.9639112008231
