"","X","item","list","subexpt","integrated","related","n2num","text","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Plausibility","errnd","errd","errcornd","errcord","AssPercent.HL.S","AssPercent.HL.P","LNSing.HS","LNSing.HP","LNPlur.HS","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","all.asso","local.asso","res.int","res.rel","res.asshl","res.rel2"
"1",1,1,2,"SemRel","integ","rel","plur","The envelope for the formal letters","I",8,3,6,7,7,3,5,6,3,1,2,1,10.04,6749.25,8.31,37.37,1.04,3.83,0.97,1.58,6.5,6.45,5.83,6.5,9,9,22,23,27.5,0,10,0,2.5,0,20,8,0,20,3,0,20,2,0,20,2,0,20,0,0,20,1,0,12.5,8.75,0.712945915356846,0.0060514494668702,-0.443223181473721,2.60923732122985
"2",2,1,4,"SemRel","integ","unrel","plur","The envelope for the photo albums","I",8,3,5,6,7,3,4,6,3,1,2,2,10.04,6749.25,22.82,2.33,1.04,3.83,1.38,0.52,2.83,2.17,3.75,4.75,0,2,21,24,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.740949541523122,-1.33007367538561,-0.0293461035837509,-1.06076267877015
"3",3,1,6,"SemRel","unint","rel","plur","The envelope by the formal letters","I",8,2,6,7,7,2,5,6,3,1,2,1,10.04,1212.84,8.31,37.37,1.04,3.08,0.97,1.58,6.5,6.45,4.67,6.17,5,5,19,20,27.5,0,10,0,2.5,0,20,8,0,20,3,0,20,2,0,20,2,0,20,0,0,20,1,0,12.5,8.75,-0.447054084643154,1.30763551445299,-0.443223181473721,2.60923732122985
"4",4,1,8,"SemRel","unint","unrel","plur","The envelope by the photo albums","I",8,2,5,6,7,2,4,6,3,1,2,2,10.04,1212.84,22.82,2.33,1.04,3.08,1.38,0.52,2.83,2.17,1.92,4.58,1,1,20,20,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-1.08905045847688,0.723287392652832,-0.0293461035837509,-1.06076267877015
"5",5,2,2,"SemRel","integ","rel","plur","The cake with the colored candles","I",4,4,7,7,3,3,6,6,1,1,2,2,44.84,5044.84,5.06,10.45,1.66,3.7,0.78,1.06,5.17,5.92,5.5,6.42,2,2,26,28,2.5,0,0,2.5,0,0,20,0,0,20,1,0,20,0,1,20,0,0,20,0,0,20,0,0,1.66666666666667,2.5,1.14688183437623,-0.925319359958321,-0.120055444474054,1.28804566864486
"6",6,2,4,"SemRel","integ","unrel","plur","The cake with the candy figurines","I",4,4,5,9,3,3,5,9,1,1,2,3,44.84,5044.84,35.55,0.49,1.66,3.7,1.56,0.17,3.92,3.58,3.58,6.33,0,1,20,22,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.0551332793273529,0.0451581698400836,-0.0601839759310847,0.0380456686448616
"7",7,2,6,"SemRel","unint","rel","plur","The cake by the colored candles","I",4,2,7,7,3,2,6,6,1,1,2,2,44.84,1212.84,5.06,10.45,1.66,3.08,0.78,1.06,5.17,5.92,5.18,5.08,1,1,19,20,2.5,0,0,2.5,0,0,20,0,0,20,1,0,20,0,1,20,0,0,20,0,0,20,0,0,1.66666666666667,2.5,0.826881834376231,-0.555239771658586,-0.120055444474054,1.28804566864486
"8",8,2,8,"SemRel","unint","unrel","plur","The cake by the candy figurines","I",4,2,5,9,3,2,5,9,1,1,2,3,44.84,1212.84,35.55,0.49,1.66,3.08,1.56,0.17,3.92,3.58,3.5,5.55,0,0,13,13,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.135133279327353,0.137678066915017,-0.0601839759310847,0.0380456686448616
"9",9,3,2,"SemRel","integ","rel","plur","The hammer for the rusty nails","I",6,3,6,5,5,3,5,5,2,1,2,1,10.18,6749.25,4.45,10.82,1.05,3.83,0.74,1.07,6.75,6.83,5.42,6,2,2,19,21,35,2.5,25,0,22.5,2.5,20,11,1,20,3,0,20,6,0,20,4,0,20,6,0,20,3,1,25.8333333333333,23.75,0.159348938097564,0.65426448362061,-0.200924608532806,1.59587337287802
"10",10,3,4,"SemRel","integ","unrel","plur","The hammer for the rigid pegs","I",6,3,5,4,5,3,5,4,2,1,2,1,10.18,6749.25,1.86,0.25,1.05,3.83,0.46,0.1,5.08,4.08,5.67,5.08,0,0,13,16,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,0.833333333333333,1.25,1.36857674618958,-1.27913367995658,-0.313137073992674,0.841348014436063
