item,word,exp,,AssPercent.HL.S,AssPercent.HL.P,LNSing-HS,LNSing-HP,LNPlur-HS,LNPlurP-HP,TotalHead1,HeadToLocNSS-Match1,HeadToLocNSP-Match1,TotalHead2,HeadToLocNSS-Match2,HeadToLocNSP-Match2,TotalLocNS1,LocNS1ToHeadS,LocNS1toHeadP,TotalLocNS2,LocNS2ToHeadS,LocNS2toHeadP,TotalLocNP1,LocNP1ToHeadS,LocNP1toHeadP,TotalLocNP2,LocNP2ToHeadS,LocNP2ToHeadP
1,envelope,SemRel,rel,27.5,0,10,0,2.5,0,20,8,0,20,3,0,20,2,0,20,2,0,20,0,0,20,1,0
2,cake,SemRel,rel,2.5,0,0,2.5,0,0,20,0,0,20,1,0,20,0,1,20,0,0,20,0,0,20,0,0
3,hammer,SemRel,rel,35,2.5,25,0,22.5,2.5,20,11,1,20,3,0,20,6,0,20,4,0,20,6,0,20,3,1
4,coach,SemRel,rel,0,0,0,0,2.5,0,20,0,0,20,0,0,20,0,0,20,0,0,20,1,0,20,0,0
5,tent,SemRel,rel,0,0,2.5,0,2.5,0,20,0,0,20,0,0,20,0,0,20,1,0,20,1,0,20,0,0
6,dam,SemRel,rel,12.5,0,0,0,0,0,20,4,0,20,1,0,20,0,0,20,0,0,20,0,0,20,0,0
7,necklace,SemRel,rel,10,2.5,2.5,0,5,0,20,2,0,20,2,1,20,0,0,20,1,0,20,1,0,20,1,0
8,fortress,SemRel,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
9,butler,SemRel,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
10,vase,SemRel,rel,15,25,2.5,0,0,0,20,5,8,20,1,2,20,0,0,20,1,0,20,0,0,20,0,0
11,banana,SemRel,rel,0,0,5,0,2.5,0,20,0,0,20,0,0,20,0,0,20,2,0,40,2,0,40,0,0
12,bodyguard,SemRel,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
13,bicycle,SemRel,rel,2.5,0,0,0,0,0,20,1,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
14,caddy,SemRel,rel,0,0,5,0,2.5,2.5,20,0,0,20,0,0,20,0,0,20,2,0,20,1,0,20,0,1
15,church,SemRel,rel,2.5,0,10,0,7.5,0,20,0,0,20,1,0,20,1,0,20,3,0,20,3,0,20,0,0
16,eraser,SemRel,rel,27.5,2.5,15,0,10,0,20,6,0,20,5,1,20,3,0,20,3,0,20,3,0,20,1,0
17,waitress,SemRel,rel,5,0,2.5,0,2.5,0,20,2,0,20,0,0,20,0,0,20,1,0,20,0,0,20,1,0
18,table,SemRel,rel,17.5,2.5,NA,NA,15,5,20,5,1,20,2,0,0,0,0,0,0,0,20,2,2,20,4,0
19,resort,SemRel,rel,5,0,0,0,0,0,20,1,0,20,1,0,20,0,0,20,0,0,20,0,0,20,0,0
20,hydrant,SemRel,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
21,trainer,SemRel,rel,0,0,0,0,0,0,20,0,3,20,0,2,20,5,0,20,0,0,20,4,0,20,4,0
22,guitar,SemRel,rel,0,12.5,12.5,0,20,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
23,canoe,SemRel,rel,0,0,10,0,5,0,20,0,0,20,0,0,20,2,0,20,2,0,20,1,0,20,1,0
24,camera,SemRel,rel,2.5,2.5,20,0,12.5,0,20,1,0,20,0,1,20,4,0,20,4,0,20,2,0,20,3,0
1,envelope,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
2,cake,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
3,hammer,SemRel,unrel,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0
4,coach,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
5,tent,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
6,dam,SemRel,unrel,0,0,0,5,0,2.5,20,0,0,20,0,0,20,0,1,20,0,1,20,0,1,20,0,0
7,necklace,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
8,fortress,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,40,0,0,40,0,0,20,0,0,20,0,0
9,butler,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
10,vase,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
11,banana,SemRel,unrel,0,0,NA,NA,0,0,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0
12,bodyguard,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
13,bicycle,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
14,caddy,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
15,church,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
16,eraser,SemRel,unrel,0,0,2.5,2.5,2.5,2.5,20,0,0,20,0,0,20,1,1,20,0,0,20,0,0,20,1,1
17,waitress,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
18,table,SemRel,unrel,0,0,10,0,2.5,0,20,0,0,20,0,0,20,3,0,20,1,0,40,1,0,40,1,0
19,resort,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,40,0,0,40,0,0,20,0,0,20,0,0
20,hydrant,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
21,trainer,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
22,guitar,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
23,canoe,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
24,camera,SemRel,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
101,fork,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
102,magazine,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
103,robin,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
104,knife,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
105,elephant,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
106,monastery,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
107,rake,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
108,shovel,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
109,spider,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
110,kayak,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
111,treasurer,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
112,horse,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
113,butterfly,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
114,tent,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
115,spatula,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
116,kiwi,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
117,motorcycle,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
118,dorm,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
119,drill,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
120,saxophone,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
121,futon,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
122,monk,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
123,saw,Cat,rel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
124,van,Cat,rel,0,0,2.5,0,0,0,20,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0
101,fork,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
102,magazine,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
103,robin,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
104,knife,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
105,elephant,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
106,monastery,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
107,rake,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
108,shovel,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
109,spider,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
110,kayak,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
111,treasurer,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
112,horse,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
113,butterfly,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
114,tent,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
115,spatula,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
116,kiwi,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
117,motorcycle,Cat,unrel,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
